time,open,high,low,close,VWAP,Upper Band #1,Lower Band #1,VWAP,Upper Band #1,Lower Band #1,RTH VWAP,VWAP +1 SD,VWAP -1 SD,POC,VAH,VAL,RTH Open,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3
1758555000,25967.25,25972.75,25948.25,25949.25,25928.53169267675,25959.299069950368,25897.76431540313,25928.53169267675,25937.761905858835,25919.30147949466,25929.393585339752,25959.4889890963,25899.298181583206,,,,0,,,,,,,,,,,,,,
1758555300,25949,25962.5,25944.5,25958.25,25929.39341154033,25959.96904586067,25898.817777219992,25929.39341154033,25938.566101836434,25920.22072124423,25930.277989113107,25960.219435163337,25900.336543062876,,,,0,,,,,,,,,,,,,,
1758555600,25957.75,25963.25,25952,25954.25,25929.78275899087,25960.313372349523,25899.252145632217,25929.78275899087,25938.941942998466,25920.623574983274,25930.650338219526,25960.539889024945,25900.760787414107,,,,0,,,,,,,,,,,,,,
1758555900,25954.5,25962.5,25954.5,25960.25,25930.111299873308,25960.613486699098,25899.609113047518,25930.111299873308,25939.261955921043,25920.960643825572,25930.982126080835,25960.853247125837,25901.111005035833,,,,0,,,,,,,,,,,,,,
1758556200,25961,25966.25,25955.75,25961.5,25930.5375645239,25961.043861964365,25900.031267083436,25930.5375645239,25939.68945375604,25921.38567529176,25931.396994432354,25961.269564832277,25901.524424032432,,,,0,,,,,,,,,,,,,,
1758556500,25961.25,25962.75,25954.25,25958.25,25930.87954332929,25961.361681825743,25900.39740483284,25930.87954332929,25940.024184878228,25921.734901780354,25931.720218781753,25961.5585225608,25901.881915002705,,,,0,,,,,,,,,,,,,,
1758556800,25958.25,25975,25957,25967,25931.910751685875,25962.47076843745,25901.350734934298,25931.910751685875,25941.078756711348,25922.742746660402,25932.78782800712,25962.76576387206,25902.80989214218,,,,0,,,,,,,,,,,,,,
1758557100,25967.5,25990.25,25957.5,25984.75,25933.320539689386,25964.338568945117,25902.302510433656,25933.320539689386,25942.625948466106,25924.015130912667,25934.250714600712,25964.78827608926,25903.713153112163,,,,0,,,,,,,,,,,,,,
1758557400,25984.75,26005,25981.75,26001.5,25935.701399920683,25968.27302194726,25903.129777894104,25935.701399920683,25945.472886528656,25925.92991331271,25936.707182958246,25968.977145956498,25904.437219959993,,,,0,,,,,,,,,,,,,,
1758557700,26001.25,26015.25,25997.75,26001.75,25938.229449200324,25972.695555946077,25903.76334245457,25938.229449200324,25948.56928122405,25927.8896171766,25939.231933625957,25973.417352343626,25905.04651490829,,,,0,,,,,,,,,,,,,,
1758558000,26001.5,26017,25997.5,26006.5,25939.933776158916,25975.568470037008,25904.299082280824,25939.933776158916,25950.624184322343,25929.24336799549,25940.945680914647,25976.33339251801,25905.557969311285,,,,0,,,,,,,,,,,,,,
1758558300,26006.5,26022,26002.5,26019.75,25941.66098903574,25978.571188517068,25904.75078955441,25941.66098903574,25952.73404888014,25930.58792919134,25942.697835492578,25979.42393813407,25905.971732851085,,,,0,,,,,,,,,,,,,,
1758558600,26019.5,26032,26016.5,26031.75,25943.655345307307,25982.279712116382,25905.03097849823,25943.655345307307,25955.24265535003,25932.068035264583,25944.710767584507,25983.20289641849,25906.218638750524,,,,0,,,,,,,,,,,,,,
1758558900,26031.5,26033.75,26024,26032.5,25944.995125876256,25984.78562781009,25905.20462394242,25944.995125876256,25956.932276456406,25933.057975296106,25946.028786307557,25985.64639837635,25906.411174238765,,,,0,,,,,,,,,,,,,,
1758559200,26032.5,26040,26026.25,26028.5,25946.68353731416,25987.868792986726,25905.49828164159,25946.68353731416,25959.03911401593,25934.327960612387,25947.692638471035,25988.663511334344,25906.721765607726,,,,0,,,,,,,,,,,,,,
1758559500,26028.5,26031.5,26022.5,26026.75,25947.74100714599,25989.67098808879,25905.811026203188,25947.74100714599,25960.32000142883,25935.162012863148,25948.731682221347,25990.419025672625,25907.04433877007,,,,0,,,,,,,,,,,,,,
1758559800,26027,26042.75,26027,26036,25949.035598164686,25991.93581323232,25906.13538309705,25949.035598164686,25961.905662684978,25936.165533644395,25950.04251234916,25992.741427939403,25907.343596758914,,,,0,,,,,,,,,,,,,,
1758560100,26036,26040.75,26029.75,26033.75,25950.05339099704,25993.701710812755,25906.405071181325,25950.05339099704,25963.147886941755,25936.958895052325,25951.04469506106,25994.46721194399,25907.62217817813,,,,0,,,,,,,,,,,,,,
1758560400,26033.25,26040,26029.5,26039.25,25950.888859443097,25995.1295374087,25906.648181477496,25950.888859443097,25964.161062832776,25937.61665605342,25951.877804116455,25995.893372682734,25907.862235550176,,,,0,,,,,,,,,,,,,,
1758560700,26039.25,26039.5,26030.75,26036,25951.525132611605,25996.209106982667,25906.841158240542,25951.525132611605,25964.930324922923,25938.119940300287,25952.499583698762,25996.935004056617,25908.064163340907,,,,0,,,,,,,,,,,,,,
1758561000,26036,26039.75,26024.75,26027.25,25952.18451408164,25997.271902708522,25907.09712545476,25952.18451408164,25965.710730669703,25938.658297493577,25953.139870501553,25997.94948614512,25908.330254857985,,,,0,,,,,,,,,,,,,,
1758561300,26027.5,26035,26020.25,26023,25953.347935749574,25999.021285082126,25907.674586417023,25953.347935749574,25967.04994054934,25939.64593094981,25954.282774105264,25999.653494500126,25908.912053710403,,,,0,,,,,,,,,,,,,,
1758561600,26023,26038.5,26022,26033.5,25954.08807175774,26000.146115098407,25908.03002841707,25954.08807175774,25967.90548475994,25940.270658755537,25955.03410931462,26000.813533739874,25909.254684889365,,,,0,,,,,,,,,,,,,,
1758561900,26034,26039.25,26032,26035.5,25954.59668298542,26000.95430206,25908.239063910838,25954.59668298542,25968.50396870779,25940.689397263046,25955.53926996254,26001.615808230716,25909.462731694366,,,,0,,,,,,,,,,,,,,
