date,dow,setup,side,lots,entry,stop,target,exit,pnl,net,exit_why,fill_hm,exit_hm
2025-10-15,2,T1-Z1,1,2,26109.5625,26043.3375,26164.75,26043.3375,-264.8999999999942,-268.3799999999942,stop,1110,1135
2025-10-15,2,T2R,1,6,25899.85,25877.775,25999.1875,25877.775,-264.8999999999651,-275.3399999999651,stop,1300,1305
2025-10-16,3,T1-Z3a,1,3,26128.5,26088.5,26172.5,26172.5,264.0,258.78,target,1025,1035
2025-10-17,4,T1-Z1,1,1,25935.625,25849.075,26007.75,25849.075,-173.09999999999854,-174.83999999999855,stop,1030,1040
2025-10-21,1,T1-Z1,-1,6,26271.7,26296.6375,26251.75,26296.6375,-299.25,-309.69,stop,1030,1035
2025-10-22,2,T1-Z1,-1,3,26198.1,26241.35,26163.5,26163.5,207.59999999999127,203.87999999999127,target,1055,1115
2025-10-22,2,T2R,1,8,26128.9,26111.6,26206.75,26111.6,-276.80000000004657,-290.7200000000466,stop,1040,1045
2025-10-23,3,T1-Z1,1,2,26181.5,26127.2,26226.75,26226.75,181.0,178.52,target,1030,1035
2025-10-28,1,T2R,1,23,27063.0,27056.5,27092.25,27056.5,-299.0,-339.02,stop,1040,1045
2025-10-28,1,T2X,-1,7,27095.5,27115.0,27059.75,27059.75,500.5,491.82,target,1100,1135
2025-10-29,2,T2R,1,20,27286.8,27279.575,27319.3125,27319.3125,1300.500000000029,1275.7000000000291,target,1110,1120
2025-10-30,3,T1-Z3a,-1,1,27067.25,27167.0,26988.5,26988.5,157.5,155.76,target,1025,1515
2025-10-31,4,T2R,1,10,27076.4,27062.225,27140.1875,27062.225,-283.5000000000582,-300.9000000000582,stop,1200,1200
2025-11-03,0,T1-Z1,-1,2,27127.35,27185.2875,27081.0,27185.2875,-231.75,-235.23,stop,1040,1215
2025-11-04,1,T2R,1,6,26663.85,26640.775,26767.6875,26640.775,-276.8999999999651,-287.3399999999651,stop,1325,1435
2025-11-04,1,T2X,-1,2,26779.225,26848.45,26652.3125,26663.85,461.5,459.02,reversed,1225,1325
2025-11-05,2,T1-Z1,1,2,26707.4375,26638.3625,26765.0,26765.0,230.25,227.77,target,1115,1125
2025-11-05,2,T2X,1,1,26718.95,26626.85,26834.075,26834.075,230.25,229.01,target,1110,1155
2025-11-07,4,T2R,1,6,25882.8,25859.825,25986.1875,25859.825,-275.69999999998254,-286.13999999998254,stop,1055,1105
2025-11-11,1,T1-Z1,-1,5,26602.6,26630.85,26580.0,26630.85,-282.5,-291.2,stop,1115,1120
2025-11-11,1,T2X,-1,4,26613.9,26647.8,26551.75,26551.75,497.20000000001164,492.24000000001166,target,1120,1130
2025-11-12,2,T1-Z1,-1,2,26660.5,26707.05,26608.5,26608.5,208.0,205.52,target,1030,1035
2025-11-19,2,T1-Z1,1,1,25931.1875,25806.6125,26035.0,25806.6125,-249.15000000000146,-250.89000000000146,stop,1045,1055
2025-11-21,4,T1-Z1,-1,2,25128.25,25196.0625,25074.0,25074.0,217.0,214.52,target,1030,1035
2025-11-25,1,T1-Z3a,1,1,25828.5,25719.0,25929.0,25929.0,201.0,199.26,target,1025,1120
2025-11-26,2,T2R,-1,10,26357.85,26372.525,26291.8125,26372.525,-293.5000000000582,-310.9000000000582,stop,1115,1120
2025-12-02,1,T2X,1,2,26664.65,26591.45,26774.45,26591.45,-292.8000000000029,-296.28000000000293,stop,1105,1110
2025-12-03,2,T2R,-1,10,26650.1,26664.525,26585.1875,26592.4,1153.9999999999418,1141.5999999999417,reversed,1045,1110
2025-12-03,2,T2X,1,2,26592.4,26534.7,26664.525,26664.525,288.5,286.02,target,1110,1135
